整體產業樣貌,,,,,,,
,,,,,,,
,,,,,,,
T,C,C,C,R,R,R,R
年(民國),,,,家,人,億元,億元
,,,,0,0,8,8
年度,產業別,主分類,次分類,家數,就業人數,產值,出口值
107,影視,電視產業,電視內容產業,723,"5,204",335.38,7.9
107,影視,電視產業,電視頻道,119,"14,077",532.3,2.62
107,影視,電視產業,電視平臺,66,"6,237",495.58,0
107,影視,電視產業,網路影音節目製作,34,─,13.16,0.37
107,影視,電視產業,數位發行與播送,6,─,44.99,2.16
107,影視,電影產業,電影製作業,1206,374,28.27,2.81
107,影視,電影產業,電影後製業,104,396,5.98,0.26
107,影視,電影產業,電影發行業,164,369,59.59,0.98
107,影視,電影產業,電影映演業,118,"3,733",130.89,0
107,影視,廣播產業,廣播節目製作及發行,247,─,─,─
107,影視,廣播產業,廣播電臺經營,171,"6,960",─,─
107,影視,廣播產業,網路廣播,8,─,─,─
107,影視,廣播產業,合計,─,─,62.37,0.68
107,影視,動畫產業,核心內容產製,─,─,19.92,8.39
107,影視,動畫產業,國內發行平臺,─,─,81.44,─
107,影視,動畫產業,合計,67,─,─,─
108,影視,電視產業,電視節目製作,669,─,315.34,4.06
108,影視,電視產業,電視節目後製,─,─,─,─
108,影視,電視產業,電視節目發行,60,─,45.47,2.31
108,影視,電視產業,電視內容產業,729,"5,517",360.81,6.37
108,影視,電視產業,電視頻道,118,"13,479",509.62,2.8
108,影視,電視產業,電視平臺,65,"6,350",483.56,0
108,影視,電視產業,網路影音節目製作,80,─,17.28,0.51
108,影視,電視產業,數位發行與播送,12,─,111.71,2.89
108,影視,電影產業,電影製作業,1372,396,29.86,3.49
108,影視,電影產業,電影後製業,109,380,5.73,0.24
108,影視,電影產業,電影發行業,167,359,57.72,1.09
108,影視,電影產業,電影映演業,127,"3,660",127.91,0
108,影視,廣播產業,廣播節目製作及發行,255,─,─,─
108,影視,廣播產業,廣播電臺經營,171,"6,868",─,─
108,影視,廣播產業,網路廣播,10,─,─,─
108,影視,廣播產業,合計,─,─,65.35,0.84
108,影視,動畫產業,核心內容產製,─,─,20.87,7.86
108,影視,動畫產業,國內發行平臺,─,─,81.71,─
108,影視,動畫產業,合計,112,"2,209",─,─
109,影視,電視產業,電視節目製作,678,─,332.12,─
109,影視,電視產業,電視節目後製,─,─,─,─
109,影視,電視產業,電視節目發行,60,─,46.41,─
109,影視,電視產業,電視內容產業,738,─,378.53,─
109,影視,電視產業,電視頻道,120,─,511.74,─
109,影視,電視產業,電視平臺,65,─,476.43,─
109,影視,電視產業,有線電視系統,─,─,440.03,─
109,影視,電視產業,網路影音節目製作,107,─,17.68,─
109,影視,電視產業,數位發行與播送,16,─,124.63,─
109,影視,電影產業,電影製作業,1564,─,27.3900,─
109,影視,電影產業,電影後製業,180,─,5.2000,─
109,影視,電影產業,電影發行業,164,─,43.1200,─
109,影視,電影產業,電影映演業,122,─,77.2600,─
109,影視,廣播產業,廣播電臺經營,185,─,63.69,─
109,影視,動畫產業,核心內容產製,106,─,19.88,─
110,影視,電視產業,電視節目製作,684,─,410.11,─
110,影視,電視產業,電視節目後製,─,─,─,─
110,影視,電視產業,電視節目發行,58,─,50.4,─
110,影視,電視產業,電視內容產業,742,─,460.51,─
110,影視,電視產業,電視頻道,119,─,513.4,─
110,影視,電視產業,電視平臺,65,─,475.84,─
110,影視,電視產業,有線電視系統,─,─,438.83,─
110,影視,電視產業,網路影音節目製作,146,─,18.57,─
110,影視,電視產業,數位發行與播送,25,─,157.03,─
110,影視,電影產業,電影製作業,1794,─,34.34,─
110,影視,電影產業,電影後製業,212,─,6.01,─
110,影視,電影產業,電影發行業,162,─,42.77,─
110,影視,電影產業,電影映演業,128,─,71.01,─
110,影視,廣播產業,廣播電臺經營,186,7028,61.83,0
110,影視,動畫產業,核心內容產製,117,─,16.63,─
110,影視,電視產業,電視產業總計,─,26637,─,13.04
110,影視,電影產業,電影產業總計,─,4271,─,4.21
110,影視,動畫產業,動畫產業總計,─,2028,─,7.42
108,流行音樂,流行音樂產業,實體唱片銷售業,226,─,3.66,0.19
108,流行音樂,流行音樂產業,音樂製作/發行/歌手經紀業,690,"2,209",118.11,34.71
108,流行音樂,流行音樂產業,集管團體與詞曲經紀業,81,133,14.15,4.36
108,流行音樂,流行音樂產業,音樂串流/下載平台業,3,375,25.5,3.38
108,流行音樂,流行音樂產業,KTV業,"1,845","12,360",1.48,0
108,流行音樂,流行音樂產業,伴唱產品業,─,,1.87,0
108,流行音樂,流行音樂產業,展演活動策劃與製作業,77,"1,976",49.97,0.23
108,流行音樂,流行音樂產業,展演協力業,535,470,11.48,0.01
108,流行音樂,流行音樂產業,展演空間業,46,"1,260",3.85,0
108,流行音樂,流行音樂產業,售票業,24,258,24.65,0.49
109,流行音樂,流行音樂產業,實體唱片銷售業,212,─,3.47,─
109,流行音樂,流行音樂產業,音樂製作/發行/歌手經紀業,730,─,93.35,─
109,流行音樂,流行音樂產業,集管團體與詞曲經紀業,86,─,12.66,─
109,流行音樂,流行音樂產業,音樂串流/下載平台業,2,─,23.19,─
109,流行音樂,流行音樂產業,KTV業,1758,─,1.32,─
109,流行音樂,流行音樂產業,伴唱產品業,─,─,2.43,─
109,流行音樂,流行音樂產業,展演活動策劃與製作業,85,─,32.01,─
109,流行音樂,流行音樂產業,展演協力業,542,─,9.3,─
109,流行音樂,流行音樂產業,展演空間業,38,─,3.25,─
109,流行音樂,流行音樂產業,售票業,25,─,16.08,─
110,流行音樂,流行音樂產業,實體唱片銷售業,204,─,2.52,─
110,流行音樂,流行音樂產業,音樂製作/發行/歌手經紀業,746,─,95.62,─
110,流行音樂,流行音樂產業,集管團體與詞曲經紀業,104,─,12.23,─
110,流行音樂,流行音樂產業,音樂串流/下載平台業,3,─,23.75,─
110,流行音樂,流行音樂產業,KTV業,1697,─,0.99,─
110,流行音樂,流行音樂產業,伴唱產品業,─,─,1.44,─
110,流行音樂,流行音樂產業,展演活動策劃與製作業,106,─,20.6,─
110,流行音樂,流行音樂產業,展演協力業,569,─,6.91,─
110,流行音樂,流行音樂產業,展演空間業,45,─,3.99,─
110,流行音樂,流行音樂產業,售票業,25,─,8.81,─
110,流行音樂,流行音樂產業,流行音樂產業總計,─,"5,935",─,27.2
108,遊戲,遊戲產業,遊戲開發,46,"5,062",202.3887,65.720882
108,遊戲,遊戲產業,遊戲代理/發行,52,"3,985",254.2825,25.033582
108,遊戲,電競產業,電競場館,3,70,0.0002,0
108,遊戲,電競產業,電競戰隊,9,243,0.4025,0.02158
108,遊戲,電競產業,電競賽事,7,347,2.4166,0.39163
109,遊戲,遊戲產業,遊戲開發,131,6832,254.09,138.5157
109,遊戲,遊戲產業,遊戲營運/代理/發行/通路,75,6314,326,139.5081
109,遊戲,電競產業,電競戰隊,14,200,0.71,0.0482
109,遊戲,電競產業,電競賽事,11,533,2.53,0.7382
109,遊戲,電競產業,校園電競,─,─,─,─
109,遊戲,電競產業,電競場館,─,─,─,─
110,遊戲,遊戲產業,遊戲開發,126,─,272.73,─
110,遊戲,遊戲產業,遊戲營運/代理/發行/通路,85,─,358.71,─
110,遊戲,電競產業,電競戰隊,11,─,0.6,─
110,遊戲,電競產業,電競賽事,11,─,4.3,─
110,遊戲,電競產業,校園電競,8,─,─,─
110,遊戲,電競產業,電競場館,─,─,─,─
