,,,,,,,
,,,,,,,
,,,,,,,
T,C,C,C,R,R,R,R
年,,,,家,人,億元,億元
,,,,0,0,0,0
年度,產業別,主分類,次分類,家數,就業人數,產值,出口值
105,影視,電影產業,電影發行業,171.0000,367.0000,55.3100,0.5400
105,影視,電影產業,電影映演業,110.0000,3423.0000,120.5600,0.0000
105,影視,廣播產業,廣播產業,417.0000,7068.0000,65.3200,0.8900
105,影視,動畫產業,核心內容產製,─,─,─,─
105,影視,動畫產業,國內發行平臺,─,─,─,─
106,影視,電視產業,電視節目製作,664.0000,─,259.5600,4.6100
106,影視,電視產業,電視節目後製,─,─,─,─
106,影視,電視產業,電視節目發行,59.0000,─,44.1500,0.0800
106,影視,電視產業,電視內容產業,723.0000,4782.0000,303.7100,4.6900
106,影視,電視產業,電視頻道,117.0000,14169.0000,535.8400,2.7600
106,影視,電視產業,電視平臺,66.0000,6438.0000,533.7600,0.0020
106,影視,電視產業,網路影音節目製作,12.0000,─,4.8700,0.2500
106,影視,電視產業,數位發行與播送,2.0000,─,37.4700,1.9800
106,影視,電影產業,電影製作業,1020.0000,375.0000,25.6800,2.2000
106,影視,電影產業,電影後製業,117.0000,393.0000,5.7600,0.2000
106,影視,電影產業,電影發行業,165.0000,397.0000,61.4400,0.6900
106,影視,電影產業,電影映演業,111.0000,3647.0000,128.4300,0.1100
106,影視,廣播產業,廣播產業,427.0000,6960.0000,64.8000,0.6400
106,影視,動畫產業,動畫產業,72.0000,─,116.5300,10.0300
107,影視,電視產業,電視節目製作,663.0000,─,288.5600,3.7700
107,影視,電視產業,電視節目後製,─,─,─,─
107,影視,電視產業,電視節目發行,60.0000,─,46.8200,4.1300
107,影視,電視產業,電視內容產業,723.0000,5204.0000,335.3800,7.9000
107,影視,電視產業,電視頻道,119.0000,14077.0000,532.3000,2.6200
107,影視,電視產業,電視平臺,66.0000,6237.0000,495.5800,0.0000
107,影視,電視產業,網路影音節目製作,34.0000,─,13.1600,0.3700
107,影視,電視產業,數位發行與播送,6.0000,─,44.9900,2.1600
107,影視,電影產業,電影製作業,1206.0000,374.0000,28.2700,2.8100
107,影視,電影產業,電影後製業,104.0000,396.0000,5.9800,0.2600
107,影視,電影產業,電影發行業,164.0000,369.0000,59.5900,0.9800
107,影視,電影產業,電影映演業,118.0000,3733.0000,130.8900,0.0000
107,影視,廣播產業,廣播產業,426.0000,6960.0000,62.3700,0.6800
107,影視,動畫產業,動畫產業,67.0000,─,101.3600,9.0700
108,影視,電視產業,電視節目製作,669.0000,─,315.3400,4.0600
108,影視,電視產業,電視節目後製,─,─,─,─
108,影視,電視產業,電視節目發行,60.0000,─,45.4700,2.3100
108,影視,電視產業,電視內容產業,729.0000,5517.0000,360.8100,6.3700
108,影視,電視產業,電視頻道,118.0000,13479.0000,509.6200,2.8000
108,影視,電視產業,電視平臺,65.0000,6350.0000,483.5600,0.0000
108,影視,電視產業,網路影音節目製作,80.0000,─,17.2800,0.5100
108,影視,電視產業,數位發行與播送,12.0000,─,111.7100,2.8900
108,影視,電影產業,電影製作業,1372.0000,396.0000,29.8600,3.4900
108,影視,電影產業,電影後製業,109.0000,380.0000,5.7300,0.2400
108,影視,電影產業,電影發行業,167.0000,359.0000,57.7200,1.0900
108,影視,電影產業,電影映演業,127.0000,3660.0000,127.9100,0.0000
108,影視,廣播產業,廣播產業,436.0000,6868.0000,65.3500,0.8400
108,影視,動畫產業,動畫產業,112.0000,2209.0000,102.5800,7.8600
108,流行音樂,流行音樂產業,實體唱片銷售業,226.0000,─,3.6600,0.1900
108,流行音樂,流行音樂產業,音樂製作/發行/歌手經紀業,690.0000,2209.0000,118.1100,34.7100
108,流行音樂,流行音樂產業,集管團體與詞曲經紀業,81.0000,133.0000,14.1500,4.3600
108,流行音樂,流行音樂產業,音樂串流/下載平台業,3.0000,375.0000,25.5000,3.3800
108,流行音樂,流行音樂產業,KTV業,1845.0000,12360.0000,1.4800,0.0000
108,流行音樂,流行音樂產業,伴唱產品業,─,,1.8700,0.0000
108,流行音樂,流行音樂產業,展演活動策劃與製作業,77.0000,1976.0000,49.9700,0.2300
108,流行音樂,流行音樂產業,展演協力業,535.0000,470.0000,11.4800,0.0100
108,流行音樂,流行音樂產業,展演空間業,46.0000,1260.0000,3.8500,0.0000
108,流行音樂,流行音樂產業,售票業,24.0000,258.0000,24.6500,0.4900
108,遊戲,遊戲產業,遊戲開發,46.0000,5062.0000,202.3887,65.7209
108,遊戲,遊戲產業,遊戲代理/發行,52.0000,3985.0000,254.2825,25.0336
108,遊戲,電競產業,電競場館,3.0000,70.0000,0.0002,0.0000
108,遊戲,電競產業,電競戰隊,9.0000,243.0000,0.4025,0.0216
108,遊戲,電競產業,電競賽事,7.0000,347.0000,2.4166,0.3916
